;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C;O;E;D1;DD2;D3;T;NR;Especificaá∆o;Portaria;Descriá∆o;Norma Correspondente;STATUS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;0;0;0;00;0;0;1.0.0.0.00.0.0;Receitas Correntes.;STN/SOF;Agrega as receitas tribut†ria, de contribuiá‰es, patrimonial, agropecu†ria, industrial, de serviáos e outras e, ainda, as provenientes de recursos financeiros recebidos de outras pessoas de direito p£blico ou privado, quando destinadas a atender despesas classific†veis em despesas correntes.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;0;0;00;0;0;1.1.0.0.00.0.0;Impostos, Taxas e Contribuiá‰es de Melhoria;STN/SOF;Agrega as receitas originadas de impostos, taxas e contribuiá‰es de melhoria.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;1;0;00;0;0;1.1.1.0.00.0.0;Impostos;STN/SOF;Agrega as receitas que se originaram de impostos. Impostos constituem modalidade de tributo cuja cobranáa tem por fato gerador situaá∆o independente de qualquer atividade estatal espec°fica, relativa ao contribuinte. Regra geral, Ç vedada a vinculaá∆o da receita de impostos a qualquer tipo de despesa, ressalvada, entre outras hip¢teses, aquelas previstas na Constituiá∆o Federal.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;1;3;01;1;0;1.1.1.3.01.1.0;Imposto sobre a Renda de Pessoa F°sica - IRPF;SOF;Registra as receitas originadas de rendimentos e ganhos de capital percebidos pelas pessoas f°sicas residentes ou domiciliadas no Brasil, que n∆o estejam sujeitas a tributaá∆o exclusiva na fonte.;;Exclu°do;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;1;3;02;1;0;1.1.1.3.02.1.0;Imposto sobre a Renda de Pessoa Jur°dica - IRPJ - L°quida de Incentivos;SOF;Agrega as receitas originadas do imposto incidente sobre o lucro das pessoas jur°dicas de direito privado em geral e das chamadas empresas individuais, nas quais enquadram-se as firmas individuais e as pessoas f°sicas que exploram, com habitualidade, qualquer atividade econìmica objetivando o lucro. A base de c†lculo do imposto Ç o lucro real, o lucro presumido ou o lucro arbitrado. Nesta natureza, est† exclu°da a parcela do imposto de renda pago por pessoas jur°dicas que fizeram opá∆o pela aplicaá∆o em projetos considerados priorit†rios para o desenvolvimento das regi‰es Norte, Nordeste e do Estado do Esp°rito Santo, conforme Medida Provis¢ria n.ß 2.199-14, de 24 de agosto de 2001.;;Exclu°do;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;1;6;01;0;0;1.1.1.6.01.0.0;Imposto sobre Circulaá∆o de Mercadorias e Serviáos;SOF;Agrega as receitas oriundas do Imposto sobre a Circulaá∆o de Mercadorias e Serviáos de Transporte Interestadual e Intermunicipal e de Comunicaá‰es - ICMS e do Imposto sobre Serviáos de Qualquer Natureza - ISS. Naturezas de receita espec°ficas de Estados e Munic°pios situam-se sob competància da STN.;EXCLU÷DO PELA PORTARIA CONJUNTA STN/SOF/ME Nß 16, de 11/02/2021;Exclu°do;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;1;7;01;0;0;1.1.1.7.01.0.0;Impostos sobre Transferàncias Patrimoniais;SOF;Agrega as receitas oriundas do Imposto sobre Transmiss∆o Causa Mortis e Doaá∆o - ITCMD e do Imposto sobre a Transmiss∆o Inter Vivos de Bens Im¢veis - ITBI. Naturezas de receita espec°ficas de Estados e Munic°pios situam-se sob competància da STN.;EXCLU÷DO PELA PORTARIA CONJUNTA STN/SOF/ME Nß 16, de 11/02/2021;Exclu°do;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;1;9;01;0;0;1.1.1.9.01.0.0;Outros Impostos;SOF;Agrega receitas de impostos n∆o classificados nos itens anteriores.;;Exclu°do;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
