100000000;ATIVO;Compreende os recursos controlados por uma entidade como consequência de eventos passados e dos quais se espera que fluam benefícios econômicos ou potencial de serviços futuros a unidade.;Devedora;Ativa;-
110000000;ATIVO CIRCULANTE;"Compreende os ativos que atendam a qualquer um dos seguintes critérios: sejam caixa ou equivalente de caixa; sejam realizáveis ou mantidos para venda ou consumo dentro do ciclo operacional da entidade; sejam mantidos primariamente para negociação; sejam realizáveis no curto prazo.";Devedora;Ativa;-
111000000;CAIXA E EQUIVALENTES DE CAIXA;Compreende o somatório dos valores em caixa e em bancos, bem como equivalentes, que representam recursos com livre movimentação para aplicação nas operações da entidade e para os quais não haja restrições para uso imediato.;Devedora;Ativa;-
111100000;CAIXA E EQUIVALENTES DE CAIXA EM MOEDA NACIONAL;Compreende o somatório dos valores em caixa e em bancos, bem como equivalentes, que representam recursos com livre movimentação para aplicação nas operações da entidade e para os quais não haja restrições para uso imediato.;Devedora;Ativa;-
111110000;CAIXA E EQUIVALENTES DE CAIXA EM MOEDA NACIONAL - CONSOLIDAÇÃO;Compreende o somatório dos valores de caixa e equivalentes de caixa em moeda nacional. Compreende os saldos que não serão excluídos nos demonstrativos consolidados do orçamento fiscal e da seguridade social (OFSS).;Devedora;Ativa;-
111110100;CAIXA;Compreende/Registra o somatório de numerários em espécie e outros valores em tesouraria.;Devedora;Ativa;Financeiro
111110200;CONTA ÚNICA;Compreende/Registra os valores da Conta Única, exceto RPPS.;Devedora;Ativa;Financeiro
111110600;CONTA ÚNICA RPPS;Compreende os valores disponíveis na Conta Única do RPPS.;Devedora;Ativa;-
111110602;BANCOS CONTA MOVIMENTO - FUNDO EM REPARTIÇÃO;Registra a movimentação financeira dos recursos nas contas movimento do Fundo em Repartição do RPPS através dos agentes financeiros credenciados.;Devedora;Ativa;Financeiro
111110603;BANCOS CONTA MOVIMENTO - FUNDO EM CAPITALIZAÇÃO;Registra a movimentação financeira dos recursos nas contas movimento do Fundo em Capitalização do RPPS através dos agentes financeiros credenciados.;Devedora;Ativa;Financeiro
111110604;BANCOS CONTA MOVIMENTO - TAXA DE ADMINISTRAÇÃO;Registra a movimentação financeira dos recursos nas contas movimento da taxa de administração do RPPS através dos agentes financeiros credenciados.;Devedora;Ativa;Financeiro
111111900;BANCOS CONTA MOVIMENTO - DEMAIS CONTAS;"Compreende/Registra o somatório das disponibilidades existentes em outras contas bancárias, que não sejam a Conta Única, agregadas pelos subitens identificativos dos bancos correspondentes.";Devedora;Ativa;Financeiro
111113000;REDE BANCARIA - ARRECADAÇÃO;Compreende/Registra o somatório dos recursos referentes a receitas arrecadadas e não recolhidas.;Devedora;Ativa;Financeiro
111115000;APLICAÇÕES FINANCEIRAS DE LIQUIDEZ IMEDIATA - USO GERAL;Compreende as aplicações financeiras de alta liquidez em moeda nacional, que são prontamente conversíveis em valores conhecidos de caixa e que estão sujeitas a um insignificante risco de mudança de valor.;Devedora;Ativa;Financeiro
111115100;APLICAÇÕES FINANCEIRAS DE LIQUIDEZ IMEDIATA- RPPS - FUNDO EM REPARTIÇÃO;Compreende as aplicações financeiras de alta liquidez em moeda nacional dos Regimes Próprios de Previdência Social , advindas de recursos do Fundo em Repartição, que são prontamente conversíveis em valores conhecidos de caixa e que estão sujeitas a um insignificante risco de mudança de valor.;Devedora;Ativa;Financeiro
111115200;APLICAÇÕES FINANCEIRAS DE LIQUIDEZ IMEDIATA - RPPS - TAXA DE ADMINISTRAÇÃO;Compreende as aplicações financeiras de alta liquidez em moeda nacional dos Regimes Próprios de Previdência Social , advindas de recursos da Taxa de Administração, que são prontamente conversíveis em valores conhecidos de caixa e que estão sujeitas a um insignificante risco de mudança de valor.;Devedora;Ativa;Financeiro
111115300;APLICAÇÕES FINANCEIRAS DE LIQUIDEZ IMEDIATA- RPPS - FUNDO EM CAPITALIZAÇÃO;Compreende as aplicações financeiras de alta liquidez em moeda nacional dos Regimes Próprios de Previdência Social , advindas de recursos do Fundo em Capitalização, que são prontamente conversíveis em valores conhecidos de caixa e que estão sujeitas a um insignificante risco de mudança de valor.;Devedora;Ativa;Financeiro
111120000;CAIXA E EQUIVALENTES DE CAIXA EM MOEDA NACIONAL - INTRA OFSS;Compreende/Registra o somatório dos valores de caixa e equivalentes de caixa em moeda nacional. Compreende os saldos que serão excluídos nos demonstrativos consolidados do orçamento fiscal e da seguridade social (OFSS) do ente -  limite de saque.;Devedora;Ativa;Financeiro
111200000;CAIXA E EQUIVALENTES DE CAIXA EM MOEDA ESTRANGEIRA;Compreende o somatório dos valores de caixa e equivalentes de caixa em moeda estrangeira.;Devedora;Ativa;-
111210000;CAIXA E EQUIVALENTES DE CAIXA EM MOEDA ESTRANGEIRA - CONSOLIDAÇÃO;Compreende o somatório dos valores de caixa e equivalentes de caixa em moeda estrangeira. Compreende os saldos que não serão excluídos nos demonstrativos consolidados do orçamento fiscal e da seguridade social (OFSS).;Devedora;Ativa;-
111210100;CAIXA;Compreende/Registra o somatório de numerários em espécie e outros valores em tesouraria no exterior;Devedora;Ativa;Financeiro
111210200;BANCOS;Compreende/Registra a livre movimentação de recursos financeiros em moeda estrangeira mantidos em contas bancárias no exterior.;Devedora;Ativa;Financeiro
