1.0.0.0.0.00.00;ATIVO;D;S;Devedora;Superior
1.1.0.0.0.00.00;ATIVO CIRCULANTE;D;S;Devedora;Superior
1.1.1.0.0.00.00;CAIXA E EQUIVALENTES DE CAIXA;D;S;Devedora;Superior
1.1.1.1.0.00.00;CAIXA E EQUIVALENTES DE CAIXA EM MOEDA NACIONAL;D;S;Devedora;Superior
1.1.1.1.1.00.00;CAIXA E EQUIVALENTES DE CAIXA EM MOEDA NACIONAL - CONSOLIDAÇÃO;D;S;Devedora;Superior
1.1.1.1.1.01.00;CAIXA;D;A;Devedora;Último
1.1.1.1.1.02.00;CONTA ÚNICA;D;A;Devedora;Último
1.1.1.1.1.06.00;CONTA ÚNICA RPPS;D;S;Devedora;Superior
1.1.1.1.1.06.02;BANCOS CONTA MOVIMENTO - FUNDO EM REPARTIÇÃO;D;A;Devedora;Último
1.1.1.1.1.06.03;BANCOS CONTA MOVIMENTO - FUNDO EM CAPITALIZAÇÃO;D;A;Devedora;Último
1.1.1.1.1.06.04;BANCOS CONTA MOVIMENTO - TAXA DE ADMINISTRAÇÃO;D;A;Devedora;Último
1.1.1.1.1.19.00;BANCOS CONTA MOVIMENTO - DEMAIS CONTAS;D;A;Devedora;Último
1.1.1.1.1.30.00;REDE BANCARIA - ARRECADAÇÃO;D;A;Devedora;Último
1.1.1.1.1.50.00;APLICAÇÕES FINANCEIRAS DE LIQUIDEZ IMEDIATA - USO GERAL;D;A;Devedora;Último
1.1.1.1.1.51.00;APLICAÇÕES FINANCEIRAS DE LIQUIDEZ IMEDIATA- RPPS - FUNDO EM REPARTIÇÃO;D;A;Devedora;Último
1.1.1.1.1.52.00;APLICAÇÕES FINANCEIRAS DE LIQUIDEZ IMEDIATA - RPPS - TAXA DE ADMINISTRAÇÃO;D;A;Devedora;Último
1.1.1.1.1.53.00;APLICAÇÕES FINANCEIRAS DE LIQUIDEZ IMEDIATA- RPPS - FUNDO EM CAPITALIZAÇÃO;D;A;Devedora;Último
1.1.1.1.2.00.00;CAIXA E EQUIVALENTES DE CAIXA EM MOEDA NACIONAL - INTRA OFSS;D;A;Devedora;Último
1.1.1.2.0.00.00;CAIXA E EQUIVALENTES DE CAIXA EM MOEDA ESTRANGEIRA;D;S;Devedora;Superior
1.1.1.2.1.00.00;CAIXA E EQUIVALENTES DE CAIXA EM MOEDA ESTRANGEIRA - CONSOLIDAÇÃO;D;S;Devedora;Superior
1.1.1.2.1.01.00;CAIXA;D;A;Devedora;Último
1.1.1.2.1.02.00;BANCOS;D;A;Devedora;Último
1.1.1.2.1.03.00;APLICAÇÕES FINANCEIRAS DE LIQUIDEZ IMEDIATA;D;A;Devedora;Último
1.1.1.3.0.00.00;CAIXA E EQUIVALENTES DE CAIXA - VALORES RESTITUÍVEIS E VINCULADOS;D;S;Devedora;Superior
1.1.1.3.1.00.00;DEPÓSITOS RESTITUÍVEIS E VALORES VINCULADOS - CONSOLIDAÇÃO;D;S;Devedora;Superior
1.1.1.3.1.01.00;DEPÓSITOS CONSIGNADOS;D;A;Devedora;Último
1.1.1.3.1.02.00;GARANTIAS;D;A;Devedora;Último
1.1.1.3.1.03.00;DEPÓSITOS JUDICIAIS;D;A;Devedora;Último
1.1.1.3.1.04.00;DEPÓSITOS NÃO JUDICIAIS;D;A;Devedora;Último
1.1.1.3.1.05.00;PRECATÓRIOS;D;A;Devedora;Último
1.1.1.3.1.06.00;OUTROS VALORES RESTITUÍVEIS;D;A;Devedora;Último
1.1.1.3.2.00.00;VALORES RESTITUÍVEIS - INTRA OFSS;D;S;Devedora;Superior
1.1.1.3.2.01.00;CONSIGNAÇÕES;D;S;Devedora;Superior
1.1.1.3.2.01.01;RPPS - RETENÇÕES SOBRE VENCIMENTOS E VANTAGENS;D;A;Devedora;Último
1.1.1.3.2.01.02;OUTRAS CONSIGNAÇÕES;D;A;Devedora;Último
1.1.2.0.0.00.00;CRÉDITOS A CURTO PRAZO;D;S;Devedora;Superior
1.1.2.1.0.00.00;CRÉDITOS TRIBUTÁRIOS A RECEBER;D;S;Devedora;Superior
1.1.2.1.1.00.00;CRÉDITOS TRIBUTÁRIOS A RECEBER - CONSOLIDAÇÃO;D;S;Devedora;Superior
1.1.2.1.1.01.00;IMPOSTOS;D;S;Devedora;Superior
1.1.2.1.1.01.01;IMPOSTO SOBRE A RENDA E PROVENTOS DE QUALQUER NATUREZA;D;A;Devedora;Último
1.1.2.1.1.01.02;IPVA;D;A;Devedora;Último
1.1.2.1.1.01.03;ITCMD;D;A;Devedora;Último
1.1.2.1.1.01.04;ICMS;D;A;Devedora;Último
1.1.2.1.1.01.05;IPTU;D;A;Devedora;Último
1.1.2.1.1.01.06;ITBI;D;A;Devedora;Último
1.1.2.1.1.01.07;ISS;D;A;Devedora;Último
1.1.2.1.1.01.08;ITR;D;A;Devedora;Último
1.1.2.1.1.01.99;OUTROS IMPOSTOS A RECEBER;D;A;Devedora;Último
1.1.2.1.1.02.00;TAXAS;D;S;Devedora;Superior
1.1.2.1.1.02.01;TAXAS PELO EXERCÍCIO DO PODER DE POLÍCIA;D;A;Devedora;Último
1.1.2.1.1.02.02;TAXAS PELA PRESTAÇÃO DE SERVIÇOS;D;A;Devedora;Último
1.1.2.1.1.03.00;CONTRIBUIÇÕES DE MELHORIA;D;S;Devedora;Superior
1.1.2.1.1.03.01;CONTRIBUIÇÕES DE MELHORIA;D;A;Devedora;Último
1.1.2.1.1.04.00;DEMAIS CONTRIBUIÇÕES;D;S;Devedora;Superior
1.1.2.1.1.04.01;CONTRIBUIÇÃO PARA O CUSTEIO DO SERVIÇO DE ILUMINAÇÃO PÚBLICA;D;A;Devedora;Último
1.1.2.1.1.05.00;CONTRIBUIÇÕES PREVIDENCIÁRIAS A RECEBER;D;S;Devedora;Superior
1.1.2.1.1.05.02;CONTRIBUIÇÕES DO RGPS A RECEBER;D;A;Devedora;Último
1.1.2.1.1.05.99;OUTRAS CONTRIBUIÇÕES PREVIDENCIÁRIAS A RECEBER;D;A;Devedora;Último
1.1.2.1.1.70.00;CRÉDITOS TRIBUTARIOS PARCELADOS;D;A;Devedora;Último
1.1.2.1.1.71.00;CRÉDITOS PREVIDENCIÁRIOS PARCELADOS;D;A;Devedora;Último
1.1.2.1.1.99.00;OUTROS CRÉDITOS TRIBUTÁRIOS A RECEBER;D;A;Devedora;Último
1.1.2.1.2.00.00;CRÉDITOS TRIBUTÁRIOS A RECEBER - INTRA OFSS;D;S;Devedora;Superior
1.1.2.1.2.01.00;IMPOSTOS;D;S;Devedora;Superior
1.1.2.1.2.01.01;IMPOSTO SOBRE A RENDA E PROVENTOS DE QUALQUER NATUREZA;D;A;Devedora;Último
1.1.2.1.2.01.02;IPVA;D;A;Devedora;Último
1.1.2.1.2.01.03;ITCMD;D;A;Devedora;Último
1.1.2.1.2.01.04;ICMS;D;A;Devedora;Último
1.1.2.1.2.01.05;IPTU;D;A;Devedora;Último
1.1.2.1.2.01.06;ITBI;D;A;Devedora;Último
1.1.2.1.2.01.07;ISS;D;A;Devedora;Último
1.1.2.1.2.01.08;ITR;D;A;Devedora;Último
1.1.2.1.2.01.99;OUTROS IMPOSTOS A RECEBER;D;A;Devedora;Último
1.1.2.1.2.02.00;TAXAS;D;S;Devedora;Superior
1.1.2.1.2.02.01;TAXAS PELO EXERCÍCIO DO PODER DE POLÍCIA;D;A;Devedora;Último
1.1.2.1.2.02.02;TAXAS PELA PRESTAÇÃO DE SERVIÇOS;D;A;Devedora;Último
1.1.2.1.2.03.00;CONTRIBUIÇÕES DE MELHORIA;D;S;Devedora;Superior
1.1.2.1.2.03.01;CONTRIBUIÇÕES DE MELHORIA;D;A;Devedora;Último
1.1.2.1.2.04.00;DEMAIS CONTRIBUIÇÕES;D;S;Devedora;Superior
1.1.2.1.2.04.01;CONTRIBUIÇÃO PARA O CUSTEIO DO SERVIÇO DE ILUMINAÇÃO PÚBLICA;D;A;Devedora;Último
